player,team,opponent,action,xpos,ypos,evt_date,Preferred foot,game,one_touch,start_time,game_time,game_state,xG,xt_in_play,xt_set_pieces,pressure,facing_goal,pass_dist,xdest,ydest,xp,attack_type,xt_chain_value,xg_chain_value,set_piece,throw_in,next_player
Maria Catharina Olafsdottir Gros,Linköping,IFK Norrköping,Assists,76,36,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,4.736,79,-1,0,"0,067",0,0,false,0,90,36,0,Open Play,"0,067","0,007",false,false,
Emma Lennartsson,Linköping,IFK Norrköping,Challenges (won),57,95,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,3,1,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Vesna Milivojević
Sara Eriksson,Linköping,IFK Norrköping,Challenges (won),73,100,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,50,1,0,0,0,0,0,false,0,0,0,0,Throw In,"-0,01",0,false,false,Wilma Leidhammar
Emma Lennartsson,Linköping,IFK Norrköping,Challenges (won),65,89,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,60,2,0,0,0,0,0,false,0,0,0,0,Open Play,"-0,019",0,false,false,Wilma Leidhammar
Jonna Ann-Charlotte Andersson,Linköping,IFK Norrköping,Challenges (won),52,26,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,206,4,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Dana Leskinen
Malin Brenn,Linköping,IFK Norrköping,Challenges (won),5,14,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,306,6,0,0,0,0,0,false,0,0,0,0,Open Play,"0,013",0,false,false,Svea Gun Monica Rehnberg
Sara Eriksson,Linköping,IFK Norrköping,Challenges (won),74,23,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,351,6,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Carrie Jones
Malin Brenn,Linköping,IFK Norrköping,Challenges (won),28,28,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,359,6,0,0,0,0,0,false,0,0,0,0,Open Play,"0,027",0,false,false,Svea Gun Monica Rehnberg
Emma Lennartsson,Linköping,IFK Norrköping,Challenges (won),58,62,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,499,9,0,0,0,0,0,false,0,0,0,0,Open Play,"0,009",0,false,false,Vesna Milivojević
Sara Eriksson,Linköping,IFK Norrköping,Challenges (won),23,17,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,680,12,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Dana Leskinen
Michelle De Jongh,Linköping,IFK Norrköping,Challenges (won),42,86,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,884,15,0,0,0,0,0,false,0,0,0,0,Open Play,"0,001",0,false,false,Samantha Cary
Lilli Halttunen,Linköping,IFK Norrköping,Challenges (won),82,94,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,915,16,0,0,0,0,0,false,0,0,0,0,Open Play,"-0,005",0,false,false,Ebba Handfast
Emma Lennartsson,Linköping,IFK Norrköping,Challenges (won),10,96,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,927,16,0,0,0,0,0,false,0,0,0,0,Open Play,"0,003",0,false,false,Vesna Milivojević
Jonna Ann-Charlotte Andersson,Linköping,IFK Norrköping,Challenges (won),47,10,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,1.008,17,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Dana Leskinen
Michelle De Jongh,Linköping,IFK Norrköping,Challenges (won),49,67,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,1.066,18,0,0,0,0,0,false,0,0,0,0,Open Play,"0,007",0,false,false,Elsa Burvall
Vilma Koivisto,Linköping,IFK Norrköping,Challenges (won),25,10,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,1.087,19,0,0,0,0,0,false,0,0,0,0,Open Play,"-0,005",0,false,false,Wilma Leidhammar
Malin Brenn,Linköping,IFK Norrköping,Challenges (won),15,12,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,1.090,19,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Svea Gun Monica Rehnberg
Noor Hoelsbrekken Eckhoff,Linköping,IFK Norrköping,Challenges (won),3,26,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,1.095,19,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Svea Gun Monica Rehnberg
Lilli Halttunen,Linköping,IFK Norrköping,Challenges (won),57,74,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,1.127,19,0,0,0,0,0,false,0,0,0,0,Counter Attack,"0,031",0,false,false,Elsa Burvall
Michelle De Jongh,Linköping,IFK Norrköping,Challenges (won),65,71,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,1.131,19,0,0,0,0,0,false,0,0,0,0,Counter Attack,"0,031",0,false,false,Ebba Handfast
