player,team,opponent,action,xpos,ypos,evt_date,Preferred foot,game,one_touch,start_time,game_time,game_state,xG,xt_in_play,xt_set_pieces,pressure,facing_goal,pass_dist,xdest,ydest,xp,attack_type,xt_chain_value,xg_chain_value,set_piece,throw_in,next_player
Maria Catharina Olafsdottir Gros,Linköping,IFK Norrköping,Assists,76,36,"Sun, 20 Apr 2025 00:00:00 GMT",0,Linköping - IFK Norrköping,false,4.736,79,-1,0,"0,067",0,0,false,0,90,36,0,Open Play,"0,067","0,007",false,false,
Irene Dirdal,Linköping,AIK,Challenges (won),45,58,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,384,7,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Adelisa Grabus
Lisa Bjork,Linköping,AIK,Challenges (won),81,4,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,498,9,0,0,0,0,0,false,0,0,0,0,Open Play,"-0,004",0,false,false,Anna Klara Ellen Oscarsson
Sara Eriksson,Linköping,AIK,Challenges (won),38,58,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,589,10,0,0,0,0,0,false,0,0,0,0,Open Play,"0,005",0,false,false,Adelisa Grabus
Sara Eriksson,Linköping,AIK,Challenges (won),32,77,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,672,12,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Signe Bundgaard Carstens
Vilma Koivisto,Linköping,AIK,Challenges (won),43,74,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,1.175,20,0,0,0,0,0,false,0,0,0,0,Throw In,"0,001",0,false,false,Adelisa Grabus
Emma Lennartsson,Linköping,AIK,Challenges (won),63,97,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,1.222,21,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Ella Lisa Catrine Reidy
Sara Eriksson,Linköping,AIK,Challenges (won),59,85,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,1.630,28,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Ella Lisa Catrine Reidy
Michelle De Jongh,Linköping,AIK,Challenges (won),79,74,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,1.738,29,0,0,0,0,0,false,0,0,0,0,Open Play,"-0,004",0,false,false,Matilda Plan
Irene Dirdal,Linköping,AIK,Challenges (won),37,10,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,1.816,31,0,0,0,0,0,false,0,0,0,0,Open Play,"0,003",0,false,false,Daniella Rachel Famili
Irene Dirdal,Linköping,AIK,Challenges (won),8,53,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,1.937,33,0,0,0,0,0,false,0,0,0,0,Open Play,"0,01",0,false,false,Ella Lisa Catrine Reidy
Emma Lennartsson,Linköping,AIK,Challenges (won),18,74,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,1.992,34,0,0,0,0,0,false,0,0,0,0,Open Play,"-0,002",0,false,false,Adelisa Grabus
Lisa Bjork,Linköping,AIK,Challenges (won),53,11,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,2.167,37,0,0,0,0,0,false,0,0,0,0,Throw In,0,0,false,false,Adelisa Grabus
Michelle De Jongh,Linköping,AIK,Challenges (won),64,14,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,2.712,46,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Anna Klara Ellen Oscarsson
Emma Lennartsson,Linköping,AIK,Challenges (won),42,89,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,3.281,55,-1,0,0,0,0,false,0,0,0,0,Open Play,"0,003",0,false,false,Ella Lisa Catrine Reidy
Vilma Koivisto,Linköping,AIK,Challenges (won),52,41,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,3.453,58,-1,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Haruna Tabata
Emma Lennartsson,Linköping,AIK,Challenges (won),12,97,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,3.471,58,-1,0,0,0,0,false,0,0,0,0,Counter Attack,"-0,001",0,false,false,Nova Tilde Selin
