player,team,opponent,action,xpos,ypos,evt_date,Preferred foot,game,one_touch,start_time,game_time,game_state,xG,xt_in_play,xt_set_pieces,pressure,facing_goal,pass_dist,xdest,ydest,xp,attack_type,xt_chain_value,xg_chain_value,set_piece,throw_in,next_player
Michelle De Jongh,Linköping,AIK,Challenges (won),28,61,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,3.503,59,-1,0,0,0,0,false,0,0,0,0,Throw In,"-0,01",0,false,false,Signe Bundgaard Carstens
Jonna Ann-Charlotte Andersson,Linköping,AIK,Challenges (won),3,0,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,3.581,60,-1,0,0,0,0,false,0,0,0,0,Open Play,"0,026",0,false,false,Haruna Tabata
Maria Catharina Olafsdottir Gros,Linköping,AIK,Challenges (won),73,96,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,3.766,63,-1,0,0,0,0,false,0,0,0,0,Open Play,"-0,002",0,false,false,Nova Tilde Selin
Maria Catharina Olafsdottir Gros,Linköping,AIK,Challenges (won),12,94,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,3.837,64,-1,0,0,0,0,false,0,0,0,0,Open Play,"0,02",0,false,false,Adelisa Grabus
Lisa Bjork,Linköping,AIK,Challenges (won),65,14,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,4.184,70,-1,0,0,0,0,false,0,0,0,0,Open Play,"0,327",0,false,false,Haruna Tabata
Maria Catharina Olafsdottir Gros,Linköping,AIK,Challenges (won),73,79,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,4.205,71,-1,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Ella Lisa Catrine Reidy
Vilma Koivisto,Linköping,AIK,Challenges (won),34,86,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,4.480,75,-1,0,0,0,0,false,0,0,0,0,Open Play,"0,003",0,false,false,Aleksandra Bogucka
Emma Lennartsson,Linköping,AIK,Challenges (won),27,83,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,4.630,78,-1,0,0,0,0,false,0,0,0,0,Open Play,"-0,004",0,false,false,Nova Tilde Selin
Jonna Ann-Charlotte Andersson,Linköping,AIK,Challenges (won),58,4,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,4.734,79,-1,0,0,0,0,false,0,0,0,0,Open Play,"0,002",0,false,false,Anna Klara Ellen Oscarsson
Emma Lennartsson,Linköping,AIK,Challenges (won),65,85,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,4.772,80,-1,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Nova Tilde Selin
Sara Eriksson,Linköping,AIK,Challenges (won),20,85,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,4.784,80,-1,0,0,0,0,false,0,0,0,0,Open Play,"0,001",0,false,false,Nova Tilde Selin
Lisa Bjork,Linköping,AIK,Challenges (won),15,90,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,4.801,81,-1,0,0,0,0,false,0,0,0,0,Open Play,"0,004",0,false,false,Aleksandra Bogucka
Vilma Koivisto,Linköping,AIK,Challenges (won),41,25,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,4.971,83,-1,0,0,0,0,false,0,0,0,0,Open Play,"0,007",0,false,false,Nellie Eriksen Yasseri
Vilma Koivisto,Linköping,AIK,Challenges (won),78,93,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,4.948,83,-1,0,0,0,0,false,0,0,0,0,Open Play,"0,002",0,false,false,Ella Lisa Catrine Reidy
Malin Brenn,Linköping,AIK,Challenges (won),55,3,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,5.014,84,-1,0,0,0,0,false,0,0,0,0,Throw In,0,0,false,false,Nellie Eriksen Yasseri
Lisa Bjork,Linköping,AIK,Challenges (won),88,89,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,5.094,85,-1,0,0,0,0,false,0,0,0,0,Open Play,"0,021",0,false,false,Olivia Maria Ellinor Lindstedt
Polly Gabrielle Doran,Linköping,AIK,Challenges (won),67,93,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,5.338,89,-1,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Nova Tilde Selin
Ella Lundin,Linköping,AIK,Challenges (won),70,85,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,5.339,89,-1,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Ella Lisa Catrine Reidy
Vilma Koivisto,Linköping,AIK,Challenges (won),50,32,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,5.414,91,-1,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Aleksandra Bogucka
Emma Lennartsson,Linköping,AIK,Challenges (won),58,68,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,5.440,91,-1,0,0,0,0,false,0,0,0,0,Open Play,"0,011",0,false,false,Nova Tilde Selin
Vilma Koivisto,Linköping,AIK,Challenges (won),27,66,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,5.375,90,-1,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Nova Tilde Selin
Lilli Halttunen,Linköping,AIK,Challenges (won),59,29,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,5.582,94,-2,0,0,0,0,false,0,0,0,0,Open Play,"0,002",0,false,false,Anna Jennie Nordin
Malin Brenn,Linköping,AIK,Challenges (won),56,29,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,5.473,92,-1,0,0,0,0,false,0,0,0,0,Open Play,"-0,154",0,false,false,Aleksandra Bogucka
Lilli Halttunen,Linköping,AIK,Challenges (won),45,27,"Sat, 22 Mar 2025 00:00:00 GMT",0,AIK - Linköping,false,5.670,95,-2,0,0,0,0,false,0,0,0,0,Open Play,"0,006",0,false,false,Signe Bundgaard Carstens
Maria Catharina Olafsdottir Gros,Linköping,Hammarby,Challenges (won),56,0,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,63,2,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Smilla Hilma Holmberg
Michelle De Jongh,Linköping,Hammarby,Challenges (won),85,92,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,33,1,0,0,0,0,0,false,0,0,0,0,Open Play,"0,014",0,false,false,Julie Blakstad
Michelle De Jongh,Linköping,Hammarby,Challenges (won),83,83,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,31,1,0,0,0,0,0,false,0,0,0,0,Open Play,"0,014",0,false,false,Julie Blakstad
Noor Hoelsbrekken Eckhoff,Linköping,Hammarby,Challenges (won),53,66,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,212,4,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Anna Langås Jøsendal
Lilli Halttunen,Linköping,Hammarby,Challenges (won),69,60,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,339,6,0,0,0,0,0,false,0,0,0,0,Open Play,"0,009",0,false,false,Bella Astrid Christina Andersson
Eshley Bakker,Linköping,Hammarby,Challenges (won),75,44,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,341,6,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Asato Miyagawa
Maria Catharina Olafsdottir Gros,Linköping,Hammarby,Challenges (won),79,29,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,341,6,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Asato Miyagawa
Jonna Ann-Charlotte Andersson,Linköping,Hammarby,Challenges (won),42,17,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,552,10,0,0,0,0,0,false,0,0,0,0,Open Play,"0,003",0,false,false,Stina Olivia Lennartsson
Maria Catharina Olafsdottir Gros,Linköping,Hammarby,Challenges (won),36,1,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,596,10,0,0,0,0,0,false,0,0,0,0,Throw In,"0,002",0,false,false,Stina Olivia Lennartsson
Malin Brenn,Linköping,Hammarby,Challenges (won),6,6,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,682,12,0,0,0,0,0,false,0,0,0,0,Open Play,"0,008",0,false,false,Stina Olivia Lennartsson
Maria Catharina Olafsdottir Gros,Linköping,Hammarby,Challenges (won),25,0,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,703,12,0,0,0,0,0,false,0,0,0,0,Open Play,"0,002",0,false,false,Smilla Hilma Holmberg
Noor Hoelsbrekken Eckhoff,Linköping,Hammarby,Challenges (won),52,60,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,747,13,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Anna Langås Jøsendal
Eshley Bakker,Linköping,Hammarby,Challenges (won),77,69,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,761,13,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Julie Blakstad
Eshley Bakker,Linköping,Hammarby,Challenges (won),64,55,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,771,13,0,0,0,0,0,false,0,0,0,0,Open Play,"0,027",0,false,false,Asato Miyagawa
Noor Hoelsbrekken Eckhoff,Linköping,Hammarby,Challenges (won),50,75,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,1.240,21,-2,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Smilla Vallotto
Emma Lennartsson,Linköping,Hammarby,Challenges (won),43,89,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,1.287,22,-2,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Julie Blakstad
Noor Hoelsbrekken Eckhoff,Linköping,Hammarby,Challenges (won),62,84,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,1.251,21,-2,0,0,0,0,false,0,0,0,0,Throw In,"-0,002",0,false,false,Julie Blakstad
Emma Lennartsson,Linköping,Hammarby,Challenges (won),8,61,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,1.536,26,-2,0,0,0,0,false,0,0,0,0,Open Play,"-0,003",0,false,false,Anna Langås Jøsendal
Emma Lennartsson,Linköping,Hammarby,Challenges (won),46,16,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,1.543,26,-2,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Asato Miyagawa
Lilli Halttunen,Linköping,Hammarby,Challenges (won),22,88,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,1.730,29,-2,0,0,0,0,false,0,0,0,0,Open Play,"-0,001",0,false,false,Bella Astrid Christina Andersson
Noor Hoelsbrekken Eckhoff,Linköping,Hammarby,Challenges (won),31,51,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,1.712,29,-2,0,0,0,0,false,0,0,0,0,Open Play,"0,004",0,false,false,Smilla Vallotto
Maria Catharina Olafsdottir Gros,Linköping,Hammarby,Challenges (won),23,13,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,2.021,34,-2,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Smilla Hilma Holmberg
Noor Hoelsbrekken Eckhoff,Linköping,Hammarby,Challenges (won),17,10,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,2.047,35,-2,0,0,0,0,false,0,0,0,0,Throw In,"-0,007",0,false,false,Asato Miyagawa
Maria Catharina Olafsdottir Gros,Linköping,Hammarby,Challenges (won),11,4,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,2.023,34,-2,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Smilla Hilma Holmberg
Lisa Bjork,Linköping,Hammarby,Challenges (won),44,60,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,2.156,36,-2,0,0,0,0,false,0,0,0,0,Open Play,"0,013",0,false,false,Smilla Vallotto
Noor Hoelsbrekken Eckhoff,Linköping,Hammarby,Challenges (won),66,87,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,2.185,37,-2,0,0,0,0,false,0,0,0,0,Open Play,"-0,01",0,false,false,Smilla Vallotto
Emma Lennartsson,Linköping,Hammarby,Challenges (won),13,89,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,2.311,39,-2,0,0,0,0,false,0,0,0,0,Open Play,"0,02",0,false,false,Vilde Hasund
Eshley Bakker,Linköping,Hammarby,Challenges (won),34,28,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,2.265,38,-2,0,0,0,0,false,0,0,0,0,Open Play,"0,003",0,false,false,Asato Miyagawa
Lisa Bjork,Linköping,Hammarby,Challenges (won),16,58,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,2.369,40,-2,0,0,0,0,false,0,0,0,0,Open Play,"0,068",0,false,false,Ellen Ingegerd Wangerheim
Jonna Ann-Charlotte Andersson,Linköping,Hammarby,Challenges (won),20,15,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,2.515,42,-2,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Smilla Hilma Holmberg
Jonna Ann-Charlotte Andersson,Linköping,Hammarby,Challenges (won),62,5,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,2.494,42,-2,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Stina Olivia Lennartsson
Eshley Bakker,Linköping,Hammarby,Challenges (won),23,18,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,2.518,42,-2,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Smilla Hilma Holmberg
Noor Hoelsbrekken Eckhoff,Linköping,Hammarby,Challenges (won),6,33,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,2.609,44,-2,0,0,0,0,false,0,0,0,0,Open Play,"0,068",0,false,false,Anna Langås Jøsendal
Lilli Halttunen,Linköping,Hammarby,Challenges (won),67,79,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,2.785,47,-2,0,0,0,0,false,0,0,0,0,Open Play,"0,013",0,false,false,Bella Astrid Christina Andersson
Jonna Ann-Charlotte Andersson,Linköping,Hammarby,Challenges (won),20,24,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,2.895,49,-2,0,0,0,0,false,0,0,0,0,Open Play,"0,005",0,false,false,Stina Olivia Lennartsson
Eshley Bakker,Linköping,Hammarby,Challenges (won),34,87,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,3.026,51,-2,0,0,0,0,false,0,0,0,0,Open Play,"0,001",0,false,false,Julie Blakstad
Emma Lennartsson,Linköping,Hammarby,Challenges (won),6,68,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,3.107,52,-2,0,0,0,0,false,0,0,0,0,Open Play,"0,023",0,false,false,Anna Langås Jøsendal
Malin Brenn,Linköping,Hammarby,Challenges (won),49,17,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,3.073,52,-2,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Ellen Ingegerd Wangerheim
Lisa Bjork,Linköping,Hammarby,Challenges (won),77,92,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,3.343,56,-3,0,0,0,0,false,0,0,0,0,Open Play,"0,013",0,false,false,Julie Blakstad
Noor Hoelsbrekken Eckhoff,Linköping,Hammarby,Challenges (won),40,35,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,3.431,58,-3,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Smilla Vallotto
Eshley Bakker,Linköping,Hammarby,Challenges (won),37,21,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,3.443,58,-3,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Smilla Hilma Holmberg
Emma Lennartsson,Linköping,Hammarby,Challenges (won),25,97,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,3.530,59,-3,0,0,0,0,false,0,0,0,0,Open Play,"0,007",0,false,false,Anna Langås Jøsendal
Michelle De Jongh,Linköping,Hammarby,Challenges (won),45,24,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,3.567,60,-3,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Stina Olivia Lennartsson
Maria Catharina Olafsdottir Gros,Linköping,Hammarby,Challenges (won),32,28,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,3.564,60,-3,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Stina Olivia Lennartsson
Emma Lennartsson,Linköping,Hammarby,Challenges (won),6,74,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,3.538,59,-3,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Vilde Hasund
Polly Gabrielle Doran,Linköping,Hammarby,Challenges (won),65,96,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,3.782,64,-4,0,0,0,0,false,0,0,0,0,Open Play,"0,005",0,false,false,Julie Blakstad
Polly Gabrielle Doran,Linköping,Hammarby,Challenges (won),80,77,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,3.894,65,-4,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Julie Blakstad
Irene Dirdal,Linköping,Hammarby,Challenges (won),52,75,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,3.887,65,-4,0,0,0,0,false,0,0,0,0,Open Play,"0,004",0,false,false,Asato Miyagawa
Jonna Ann-Charlotte Andersson,Linköping,Hammarby,Challenges (won),1,17,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,4.081,69,-4,0,0,0,0,false,0,0,0,0,Open Play,"0,022",0,false,false,Stina Olivia Lennartsson
Irene Dirdal,Linköping,Hammarby,Challenges (won),53,96,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,4.210,71,-4,0,0,0,0,false,0,0,0,0,Open Play,"-0,003",0,false,false,Julie Blakstad
Noor Hoelsbrekken Eckhoff,Linköping,Hammarby,Challenges (won),73,84,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,4.384,74,-4,0,0,0,0,false,0,0,0,0,Open Play,"-0,006","0,155",false,false,Ellen Ingegerd Wangerheim
Noor Hoelsbrekken Eckhoff,Linköping,Hammarby,Challenges (won),55,81,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,4.542,76,-4,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Asato Miyagawa
Noor Hoelsbrekken Eckhoff,Linköping,Hammarby,Challenges (won),47,47,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,4.652,78,-4,0,0,0,0,false,0,0,0,0,Open Play,"0,001",0,false,false,Cathinka Cecilie Friis Tandberg
Noor Hoelsbrekken Eckhoff,Linköping,Hammarby,Challenges (won),53,64,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,4.767,80,-4,0,0,0,0,false,0,0,0,0,Open Play,"0,001",0,false,false,Asato Miyagawa
Noor Hoelsbrekken Eckhoff,Linköping,Hammarby,Challenges (won),51,76,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,4.792,80,-4,0,0,0,0,false,0,0,0,0,Open Play,"0,004",0,false,false,Julie Blakstad
Polly Gabrielle Doran,Linköping,Hammarby,Challenges (won),18,94,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,4.922,83,-4,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Lotta Linnea Okvist
Emma Lennartsson,Linköping,Hammarby,Challenges (won),23,98,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,4.918,82,-4,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Julie Blakstad
Polly Gabrielle Doran,Linköping,Hammarby,Challenges (won),73,90,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,5.041,85,-4,0,0,0,0,false,0,0,0,0,Throw In,"0,003",0,false,false,Julie Blakstad
Maria Catharina Olafsdottir Gros,Linköping,Hammarby,Challenges (won),69,4,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,5.335,89,-5,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Stina Olivia Lennartsson
Maria Catharina Olafsdottir Gros,Linköping,Hammarby,Challenges (won),77,7,"Sat, 29 Mar 2025 00:00:00 GMT",0,Linköping - Hammarby,false,5.498,92,-5,0,0,0,0,false,0,0,0,0,Open Play,"0,013",0,false,false,Smilla Hilma Holmberg
Irene Dirdal,Linköping,Brommapojkarna,Challenges (won),28,5,"Sat, 12 Apr 2025 00:00:00 GMT",0,Brommapojkarna - Linköping,false,138,3,0,0,0,0,0,false,0,0,0,0,Open Play,"0,001",0,false,false,Tuva Eva Christina Olvestad
Noor Hoelsbrekken Eckhoff,Linköping,Brommapojkarna,Challenges (won),18,64,"Sat, 12 Apr 2025 00:00:00 GMT",0,Brommapojkarna - Linköping,false,172,3,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Vera Louise Lillback
Lilli Halttunen,Linköping,Brommapojkarna,Challenges (won),35,8,"Sat, 12 Apr 2025 00:00:00 GMT",0,Brommapojkarna - Linköping,false,353,6,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Julia Viktoria Charolina Olsson
Lilli Halttunen,Linköping,Brommapojkarna,Challenges (won),40,7,"Sat, 12 Apr 2025 00:00:00 GMT",0,Brommapojkarna - Linköping,false,351,6,0,0,0,0,0,false,0,0,0,0,Open Play,"0,004",0,false,false,Amanda Wulff
Vilma Koivisto,Linköping,Brommapojkarna,Challenges (won),55,44,"Sat, 12 Apr 2025 00:00:00 GMT",0,Brommapojkarna - Linköping,false,416,7,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Vera Louise Lillback
Lilli Halttunen,Linköping,Brommapojkarna,Challenges (won),38,67,"Sat, 12 Apr 2025 00:00:00 GMT",0,Brommapojkarna - Linköping,false,530,9,0,0,0,0,0,false,0,0,0,0,Open Play,"0,008",0,false,false,Amanda Wulff
Michelle De Jongh,Linköping,Brommapojkarna,Challenges (won),40,29,"Sat, 12 Apr 2025 00:00:00 GMT",0,Brommapojkarna - Linköping,false,488,9,0,0,0,0,0,false,0,0,0,0,Open Play,0,0,false,false,Julia Viktoria Charolina Olsson
